dataset,algorithm,seed,kind,n_recs,distinct_scores,score_std,train_test_overlap,candidate_leakage_probe,runtime_s,rerun_P@1,rerun_nDCG@1,indep_P@1,indep_nDCG@1,rerun_P@5,rerun_nDCG@5,indep_P@5,indep_nDCG@5,rerun_P@10,rerun_nDCG@10,indep_P@10,indep_nDCG@10,reported_P@1,reported_nDCG@1,reported_P@5,reported_nDCG@5,reported_P@10,reported_nDCG@10
lastfm,Pop,42,node,10900,25,12.77616677099261,0,0,1.0,0.05137614678899083,0.05137614678899083,0.05137614678899083,0.05137614678899083,0.042018348623853216,0.0522529089322357,0.042018348623853216,0.0522529089322357,0.03853211009174312,0.06013828598596992,0.03853211009174312,0.06013828598596992,0.0513761467889908,0.0513761467889908,0.0420183486238532,0.0522529089322357,0.0385321100917431,0.0601382859859699
lastfm,ItemKNN_implicit,42,counterfactual,10900,10862,2.1470859417950314,0,0,5.0,0.10642201834862386,0.10642201834862386,0.10642201834862386,0.10642201834862386,0.08018348623853211,0.0988675328823155,0.08018348623853211,0.0988675328823155,0.06926605504587156,0.10783607386250593,0.06926605504587156,0.10783607386250593
lastfm,ALS,84,node,10900,10900,0.27520129011294103,0,0,1.7,0.12293577981651377,0.12293577981651377,0.12293577981651377,0.12293577981651377,0.08825688073394497,0.10952516272026248,0.08825688073394497,0.10952516272026248,0.07614678899082569,0.1167479945081549,0.07614678899082569,0.1167479945081549,0.1192660550458715,0.1192660550458715,0.0922935779816513,0.1142136185634716,0.0765137614678899,0.1198968982632289
lastfm,ItemKNN,84,node,10900,1,0.0,0,0,7.4,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.001834862385321101,0.005321100917431193,0.0041439516996149,0.005321100917431193,0.0041439516996149,0.003577981651376147,0.0037659149999945056,0.003577981651376147,0.003765914999994504,0.0018348623853211,0.0018348623853211,0.0053211009174311,0.0041439516996149,0.0035779816513761,0.0037659149999945
lastfm,Pop,84,node,10900,26,15.628206174150717,0,0,1.2,0.03394495412844037,0.03394495412844037,0.03394495412844037,0.03394495412844037,0.03724770642201835,0.043709236424525934,0.03724770642201835,0.043709236424525934,0.034495412844036705,0.05176658858784002,0.034495412844036705,0.05176658858784002,0.0339449541284403,0.0339449541284403,0.0372477064220183,0.0437092364245259,0.0344954128440367,0.05176658858784
lastfm,ItemKNN_implicit,84,counterfactual,10900,10863,2.1480991144568313,0,0,5.2,0.10917431192660551,0.10917431192660551,0.10917431192660551,0.10917431192660551,0.08477064220183486,0.10458580411622706,0.08477064220183486,0.10458580411622706,0.07055045871559633,0.11398389732737384,0.07055045871559633,0.11398389732737382
amazon_videogames,ALS,1,node,633830,633830,0.18367576263412616,0,0,673.5,0.03641354937443794,0.03641354937443794,0.03641354937443794,0.03641354937443794,0.02498461732641244,0.05079104269246602,0.02498461732641244,0.05079104269246602,0.019757663726866825,0.06448737134681014,0.019757663726866825,0.06448737134681014,0.0379281510815202,0.0379281510815202,0.0253254027105059,0.0518921278137857,0.0200321852862755,0.0658628466149126
amazon_videogames,ItemKNN,1,node,633830,1,0.0,0,0,412.9,0.0004575359323477904,0.0004575359323477904,0.0004575359323477904,0.0004575359323477904,0.0004890901345786725,0.0009281477055057279,0.0004890901345786725,0.0009281477055057279,0.00048277929413249605,0.0014106804858079452,0.00048277929413249605,0.0014106804858079452,0.0005679756401558,0.0005679756401558,0.0005616647997097,0.0010598396569703,0.0005727087704905,0.0016661423122621
amazon_videogames,Pop,1,node,633830,17,240.272424964758,0,0,213.4,0.00858274300679993,0.00858274300679993,0.00858274300679993,0.00858274300679993,0.006730511335847152,0.013440493769551514,0.006730511335847152,0.013440493769551514,0.00588012558572488,0.018305989251848776,0.00588012558572488,0.018305989251848776,0.0085827430067999,0.0085827430067999,0.0067305113358471,0.0134404937695515,0.0058801255857248,0.0183059892518487
amazon_videogames,ItemKNN_implicit,1,counterfactual,633830,343101,0.14893948266150453,0,0,364.8,0.04087846899010776,0.04087846899010776,0.04087846899010776,0.04087846899010776,0.02351419150245334,0.04876284482617489,0.02351419150245334,0.04876284482617489,0.017222283577615446,0.058471598384663315,0.017222283577615446,0.058471598384663315
